[besr_adm@rel14620cor001 root]$ source_control -l ALL
perf:eeaprb105cro:1                     uplane_perf_1                 678 sec        pag       ACTIVE
perf:eeaprb105cro:2                     uplane_perf_4                 802 sec        pag       ACTIVE
perf:eeaprb105cro:3                     uplane_perf_7                 742 sec        pag       ACTIVE
perf:eeaprb105lds:0                     uplane_perf_2                 793 sec        pag       ACTIVE
perf:eeaprb105lds:1                     uplane_perf_5                 828 sec        pag       ACTIVE
perf:eeaprb105lds:2                     uplane_perf_0                 695 sec        pag       ACTIVE
perf:eeaprb105lds:3                     uplane_perf_3                 802 sec        pag       ACTIVE
perf:eeaprb105ltn:0                     uplane_perf_6                 1009 sec       pag       ACTIVE
perf:eeaprb105ltn:1                     uplane_perf_1                 663 sec        pag       ACTIVE
perf:eeaprb105ltn:2                     uplane_perf_4                 784 sec        pag       ACTIVE
perf:eeaprb105ltn:3                     uplane_perf_7                 736 sec        pag       ACTIVE
perf:eeaprb105mfd:0                     uplane_perf_2                 915 sec        pag       ACTIVE
perf:eeaprb105mfd:1                     uplane_perf_4                 802 sec        pag       ACTIVE
perf:eeaprb105mfd:2                     uplane_perf_6                 1000 sec       pag       ACTIVE
perf:eeaprb105mfd:3                     uplane_perf_0                 815 sec        pag       ACTIVE
perf:eeaprb105wvn:0                     uplane_perf_2                 852 sec        pag       ACTIVE
perf:eeaprb105wvn:1                     uplane_perf_6                 912 sec        pag       ACTIVE
perf:eeaprb105wvn:2                     uplane_perf_2                 822 sec        pag       ACTIVE
perf:eeaprb105wvn:3                     uplane_perf_6                 933 sec        pag       ACTIVE
perf:eeaprb106bkt:0                     uplane_perf_3                 875 sec        pag       ACTIVE
perf:eeaprb106bkt:1                     uplane_perf_6                 926 sec        pag       ACTIVE
perf:eeaprb106bkt:2                     uplane_perf_1                 638 sec        pag       ACTIVE
perf:eeaprb106bkt:3                     uplane_perf_4                 757 sec        pag       ACTIVE
perf:eeaprb106cro:0                     uplane_perf_7                 762 sec        pag       ACTIVE
perf:eeaprb106cro:1                     uplane_perf_2                 882 sec        pag       ACTIVE
perf:eeaprb106cro:2                     uplane_perf_5                 937 sec        pag       ACTIVE
perf:eeaprb106cro:3                     uplane_perf_0                 811 sec        pag       ACTIVE
perf:eeaprb106lds:0                     uplane_perf_3                 807 sec        pag       ACTIVE
perf:eeaprb106lds:1                     uplane_perf_6                 853 sec        pag       ACTIVE
perf:eeaprb106lds:2                     uplane_perf_1                 596 sec        pag       ACTIVE
perf:eeaprb106lds:3                     uplane_perf_4                 661 sec        pag       ACTIVE
perf:eeaprb106ltn:0                     uplane_perf_7                 760 sec        pag       ACTIVE
perf:eeaprb106ltn:1                     uplane_perf_2                 880 sec        pag       ACTIVE
perf:eeaprb106ltn:2                     uplane_perf_5                 907 sec        pag       ACTIVE
perf:eeaprb106ltn:3                     uplane_perf_0                 793 sec        pag       ACTIVE
perf:eeaprb106mfd:0                     uplane_perf_3                 939 sec        pag       ACTIVE
perf:eeaprb106mfd:1                     uplane_perf_5                 937 sec        pag       ACTIVE
perf:eeaprb106mfd:2                     uplane_perf_7                 761 sec        pag       ACTIVE
perf:eeaprb106mfd:3                     uplane_perf_1                 677 sec        pag       ACTIVE
perf:eeaprb106wvn:0                     uplane_perf_3                 868 sec        pag       ACTIVE
perf:eeaprb106wvn:1                     uplane_perf_7                 675 sec        pag       ACTIVE
perf:eeaprb106wvn:2                     uplane_perf_3                 832 sec        pag       ACTIVE
perf:eeaprb106wvn:3                     uplane_perf_7                 711 sec        pag       ACTIVE
perf:eeaprb107bkt:0                     uplane_perf_4                 800 sec        pag       ACTIVE
perf:eeaprb107bkt:1                     uplane_perf_7                 700 sec        pag       ACTIVE
perf:eeaprb107bkt:2                     uplane_perf_2                 858 sec        pag       ACTIVE
perf:eeaprb107bkt:3                     uplane_perf_5                 887 sec        pag       ACTIVE
perf:eeaprb107cro:0                     uplane_perf_0                 833 sec        pag       ACTIVE
perf:eeaprb107cro:1                     uplane_perf_3                 914 sec        pag       ACTIVE
perf:eeaprb107cro:2                     uplane_perf_6                 997 sec        pag       ACTIVE
perf:eeaprb107cro:3                     uplane_perf_1                 682 sec        pag       ACTIVE
perf:eeaprb107lds:0                     uplane_perf_4                 694 sec        pag       ACTIVE
perf:eeaprb107lds:1                     uplane_perf_7                 660 sec        pag       ACTIVE
perf:eeaprb107lds:2                     uplane_perf_2                 768 sec        pag       ACTIVE
perf:eeaprb107lds:3                     uplane_perf_5                 817 sec        pag       ACTIVE
perf:eeaprb107ltn:0                     uplane_perf_0                 816 sec        pag       ACTIVE
perf:eeaprb107ltn:1                     uplane_perf_3                 906 sec        pag       ACTIVE
perf:eeaprb107ltn:2                     uplane_perf_6                 969 sec        pag       ACTIVE
perf:eeaprb107ltn:3                     uplane_perf_1                 682 sec        pag       ACTIVE
perf:eeaprb107mfd:0                     uplane_perf_4                 811 sec        pag       ACTIVE
perf:eeaprb107mfd:1                     uplane_perf_6                 982 sec        pag       ACTIVE
perf:eeaprb107mfd:2                     uplane_perf_0                 793 sec        pag       ACTIVE
perf:eeaprb107mfd:3                     uplane_perf_2                 882 sec        pag       ACTIVE
perf:eeaprb107wvn:0                     uplane_perf_4                 758 sec        pag       ACTIVE
perf:eeaprb107wvn:1                     uplane_perf_0                 751 sec        pag       ACTIVE
perf:eeaprb107wvn:2                     uplane_perf_4                 730 sec        pag       ACTIVE
perf:eeaprb107wvn:3                     uplane_perf_0                 758 sec        pag       ACTIVE
perf:eeaprb108bkt:0                     uplane_perf_5                 880 sec        pag       ACTIVE
perf:eeaprb108bkt:1                     uplane_perf_0                 763 sec        pag       ACTIVE
perf:eeaprb108bkt:2                     uplane_perf_3                 881 sec        pag       ACTIVE
perf:eeaprb108bkt:3                     uplane_perf_6                 949 sec        pag       ACTIVE
perf:eeaprb108cro:0                     uplane_perf_1                 699 sec        pag       ACTIVE
perf:eeaprb108cro:1                     uplane_perf_4                 797 sec        pag       ACTIVE
perf:eeaprb108cro:2                     uplane_perf_7                 756 sec        pag       ACTIVE
perf:eeaprb108cro:3                     uplane_perf_2                 862 sec        pag       ACTIVE
perf:eeaprb108lds:0                     uplane_perf_5                 822 sec        pag       ACTIVE
perf:eeaprb108lds:1                     uplane_perf_0                 676 sec        pag       ACTIVE
perf:eeaprb108lds:2                     uplane_perf_3                 791 sec        pag       ACTIVE
perf:eeaprb108lds:3                     uplane_perf_6                 862 sec        pag       ACTIVE
perf:eeaprb108ltn:0                     uplane_perf_1                 689 sec        pag       ACTIVE
perf:eeaprb108ltn:1                     uplane_perf_4                 798 sec        pag       ACTIVE
perf:eeaprb108ltn:2                     uplane_perf_7                 746 sec        pag       ACTIVE
perf:eeaprb108ltn:3                     uplane_perf_2                 878 sec        pag       ACTIVE
perf:eeaprb108mfd:0                     uplane_perf_5                 950 sec        pag       ACTIVE
perf:eeaprb108mfd:1                     uplane_perf_7                 758 sec        pag       ACTIVE
perf:eeaprb108mfd:2                     uplane_perf_1                 691 sec        pag       ACTIVE
perf:eeaprb108mfd:3                     uplane_perf_3                 910 sec        pag       ACTIVE
perf:eeaprb108wvn:0                     uplane_perf_5                 886 sec        pag       ACTIVE
perf:eeaprb108wvn:1                     uplane_perf_1                 628 sec        pag       ACTIVE
perf:eeaprb108wvn:2                     uplane_perf_5                 868 sec        pag       ACTIVE
